config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
support_confidence_high_50,block_3,ssd,gamma_s2,27.19511844335037,43.38637364614979,28.84400472498823,-0.013145471893355465,-0.001428823828669712,-0.04755497015152543,-0.3642612023305847,-0.8122818797304143,-0.10460550514280742
support_confidence_high_50,block_3,ssd,contrast_s1,28.27143773182866,45.717723586055044,29.8139395926915,0.04897487065571027,0.1803320058921032,0.003148909855610338,-0.11491664027005188,-0.03401727895176454,-0.06159139372550748
support_confidence_high_50,block_3,ssd,contrast_s2,26.771500250701795,43.69162273700889,28.145463190680402,-0.092231803751891,0.07665698540308408,-0.7112273157589832,-0.013793715840154652,0.006010233234554629,0.06306171643613023
support_confidence_high_50,block_3,ssd,color_cast_s1,28.23361024290623,44.57459425379993,29.73613266694663,-0.003266737505008832,0.024059720723174083,-0.03104978574516304,-0.0902277603253121,-0.092290535296774,-0.1397897149913785
support_confidence_high_50,block_3,ssd,color_cast_s2,27.124237135220113,42.957903485762614,27.858424253404607,0.037464300104594894,0.04724458443243207,0.1898993019608386,0.020124096700124827,0.005890714150613707,0.07721992023712043
support_confidence_high_50,block_3,ssd,clean_s0,28.799805748231922,45.83220913918484,30.634192911961932,0.02581131377328294,0.03982373493324198,0.049116404618149145,-0.055470050945544136,-0.04917990928778315,0.0009481027817337395
support_confidence_high_50,block_4,source,gamma_s1,37.32219129599535,58.13877403011736,40.19105462613503,-0.1244426956856115,-0.14781814794097015,-0.16417818902725867,-0.6123458850742891,-0.10498102296534473,-1.0340816999713898
support_confidence_high_50,block_4,source,gamma_s2,35.21101789507636,55.24899771988915,37.21130029143096,0.10060250325604203,0.2572628332980442,-0.005546342679618732,-0.22653515098012833,0.24567532443242612,-1.7207566608665237
support_confidence_high_50,block_4,source,contrast_s1,35.7172696624166,55.924051840071876,38.733201494396646,-0.2776317902081771,-0.031727646301527024,-0.37282722851321726,0.03472505578477891,0.06744576424065896,-0.26064411049274705
support_confidence_high_50,block_4,source,contrast_s2,30.433995102978635,47.15490524921227,32.947184809082245,0.030890033227204405,0.055781442990521235,0.017811489552477244,-0.008449689987549691,-0.15851526197231403,-0.29715066996106043
support_confidence_high_50,block_4,source,color_cast_s1,36.89342726615828,58.253951356398034,40.17027991775883,-0.14404563737320797,0.06913129018374375,-0.1043875280781148,0.001871385240470591,0.11869840578255797,0.03783703616077605
support_confidence_high_50,block_4,source,color_cast_s2,35.89371752720405,55.95253207766451,39.42506625319466,-0.391618740735622,-0.5185812068424944,-0.4600597102254744,-0.11813773499736446,-0.24992430090532425,-0.18306516681840246
support_confidence_high_50,block_4,source,clean_s0,38.730167466080225,59.92940769879341,40.83257308691264,0.06034144198133751,0.16019452928279776,-0.34013373589558693,-0.028041973358400307,0.02595584740529011,-0.5357887422292817
support_confidence_high_50,block_4,target,gamma_s1,37.892869740082965,55.73298330068286,39.360299101319086,0.05859422818690341,0.026891154379959925,-0.0704719167138601,-0.1621187716471184,-0.2058048817790925,-0.12747236871903933
support_confidence_high_50,block_4,target,gamma_s2,35.92547865897224,53.53657168989194,37.98935802524669,-0.14473861354316608,-0.19223612003023138,0.32985850910768333,0.05919391662282947,0.3463528832202356,0.10847671039717621
support_confidence_high_50,block_4,target,contrast_s1,37.19341971605652,54.81980667209862,38.91698201027276,0.13850838980453695,0.021533729279377134,0.26338609745441555,-0.021498191804253386,-0.18676900947723896,0.22969532941479742
support_confidence_high_50,block_4,target,contrast_s2,31.609887265159585,45.984347890235526,32.65344831768668,0.2734987209464579,-0.05757103651505835,0.5052616831279055,-0.19558987443164533,-0.32334927934402624,-0.17741879336036215
support_confidence_high_50,block_4,target,color_cast_s1,36.71450338134598,54.88021028547854,38.035594749103666,-0.08751251894031364,-0.10725084267303453,0.09363330350650734,0.04262166188870875,0.052543302581486984,0.19582577831111503
support_confidence_high_50,block_4,target,color_cast_s2,35.38388489794704,52.618151733784856,38.18154151104194,0.013763130823390979,-0.06366729113069791,0.23660136672227772,-0.05992280297337227,0.0610333542354069,-0.09470058003465676
support_confidence_high_50,block_4,target,clean_s0,38.75830019778001,57.161692758418845,41.350033483038665,0.00043861290290325705,-0.057384179516783984,-0.23423511021736787,-0.13945183950682116,-0.20034909237826026,0.15553753354112243
support_confidence_high_50,block_4,ssd,gamma_s1,24.48256299804842,39.20798367114775,25.44801961198644,0.07859141805568459,0.3150636413999597,0.23791092789173796,-0.018620032169691658,-0.015372536211788468,-0.311803825268947
support_confidence_high_50,block_4,ssd,gamma_s2,23.50984491777527,37.858394699500124,24.524815936368036,0.1398094483350376,0.13678802723440797,0.08466874133646884,-0.09975788474827219,-0.08065665102462982,0.010243779579327539
support_confidence_high_50,block_4,ssd,contrast_s1,25.370486243922443,40.97068986337588,26.490126932324053,-0.005095489829309852,-0.03640322987586431,0.230235985306676,0.010988236720654854,0.1056438142429672,0.13783423513141213
support_confidence_high_50,block_4,ssd,contrast_s2,23.55120319885845,38.271040519123794,23.99001665494006,-0.21002661270323464,-0.5269579012256165,-0.19055871354150544,-0.0884366946078241,-0.18818247545663858,-0.2021736134917851
support_confidence_high_50,block_4,ssd,color_cast_s1,24.697144590231307,39.49119177272332,25.571837941605747,0.09689611329145031,0.23454797389216298,0.06693637708013456,-0.004404300130941841,-0.029414519575077236,-0.0031629643200914437
support_confidence_high_50,block_4,ssd,color_cast_s2,24.28248785820003,38.93113332598509,25.352689181755984,-0.043808620339683135,-0.005672652376564891,-0.09564976205883036,0.06684693731414393,-0.008647329392225123,0.1339037699485679
support_confidence_high_50,block_4,ssd,clean_s0,25.35661650703927,40.717631267126926,26.18183341046152,-0.0748387301762965,-0.0841961925436785,-0.14736322817402447,0.11915143053533028,0.08301735454535053,0.107482210113935
support_confidence_high_50,block_5,source,gamma_s1,42.97333740141675,65.65538796840134,46.408835786886826,0.1511188323747248,0.09714097842501435,0.15876087038240172,-0.4011589010099237,-0.11448075602209506,-0.35404431834620276
support_confidence_high_50,block_5,source,gamma_s2,41.732121143605646,63.45545128801058,45.237692819659465,-0.3336275458218796,-0.1689417527699799,-0.8414098453915331,0.029076090078405947,-0.1520888555695321,0.20893447267593124
support_confidence_high_50,block_5,source,contrast_s1,41.91036283427913,64.26514134838379,44.67435582988836,0.04907457276372429,0.23826210591194608,0.41477442410169374,-0.26255372586657666,-0.5783586550485942,0.10489734086795433
support_confidence_high_50,block_5,source,contrast_s2,37.174034205236524,57.636833261854136,39.783855283868,-0.31179932510425057,-0.812330632896574,-0.2548466013188255,0.16203480389743175,0.18862615087992252,-0.3805833328550834
support_confidence_high_50,block_5,source,color_cast_s1,41.08526505351719,63.02868992987016,44.67374294125247,0.07138041107342952,-0.0033916498346164836,0.16076726323603907,0.03348166119428453,-0.2542737957952568,0.20111345828097704
support_confidence_high_50,block_5,source,color_cast_s2,40.708234097532205,62.623082658761874,43.17796034117098,0.06436912764517522,-0.13770396795536044,0.026686525879110468,-0.059484113527419336,0.045247215755361836,0.019353953735934404
support_confidence_high_50,block_5,source,clean_s0,42.77719659002792,65.17696097077959,45.688290153526225,0.0645077425713847,0.12893048549169617,0.07689867208946488,0.02854250777633016,0.2635975676585023,0.04103786100466689
support_confidence_high_50,block_5,target,gamma_s1,44.722867822448826,65.14625602791698,46.96983490763583,0.14322142492625978,0.027707562564738275,0.21447604825921007,-0.04871451273254501,0.07616162146056871,-0.04902427983218827
