group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
block_1,ssd,det_pseudo_half_dose,color_cast_s1,28.649925771041605,45.77727488039753,29.90731540813607,-0.023825611635852617,-0.07243961755412087,0.0014707723249740567,-0.010364676004198659,0.08483284691763182,-0.1210925138300123
block_1,ssd,det_pseudo_half_dose,color_cast_s2,27.71636515080714,43.78150184437702,28.79893725177366,-0.028074051243637266,0.0385373250697596,-0.024736587150392397,0.03995761646176099,0.0475553746356161,0.0922946913891165
block_1,ssd,det_pseudo_half_dose,clean_s0,29.54394223401502,46.341435310688524,31.066036857224343,0.011175814754044167,-0.0732679376506229,0.18842292012293815,0.01346308070696578,-0.016676060758807898,0.15493610936235802
block_2,source,no_adapt,gamma_s1,42.50553509832757,64.30590694883522,46.43357866494156,0.0,0.0,0.0,-0.2006537113860951,0.04523411049073278,-0.2038623080165669
block_2,source,no_adapt,gamma_s2,40.680480349237456,61.4874012936635,44.820376431539714,0.0,0.0,0.0,-0.1195229426697475,0.033886409498262715,-0.31188515868268984
block_2,source,no_adapt,contrast_s1,41.385685663932854,61.95856510848555,45.677700205908614,0.0,0.0,0.0,-0.18828100860244779,-0.053310912914084074,-0.16086481836872224
block_2,source,no_adapt,contrast_s2,35.96133952014057,56.7667223239138,36.71234152681508,0.0,0.0,0.0,-0.1314764848851735,-0.07458430428103346,-1.3110364470425684
block_2,source,no_adapt,color_cast_s1,42.27999828704391,64.59308971550247,47.54715494095079,0.0,0.0,0.0,-0.2341694620711654,0.34013231804961297,-0.0032621125474752155
block_2,source,no_adapt,color_cast_s2,41.59484882936111,63.058742608437754,45.195325249288715,0.0,0.0,0.0,0.4046131350875448,0.5350547850884735,0.44720482805249984
block_2,source,no_adapt,clean_s0,43.872274751725335,65.52992331811241,48.189975879465294,0.0,0.0,0.0,0.33789851342210797,0.1895569911871009,0.3622087342521396
block_2,source,det_pseudo_clip_radius,gamma_s1,42.706188809713666,64.26067283834448,46.637440972958125,0.2006537113860951,-0.04523411049073278,0.2038623080165669,0.0,0.0,0.0
block_2,source,det_pseudo_clip_radius,gamma_s2,40.8000032919072,61.45351488416524,45.132261590222406,0.1195229426697475,-0.033886409498262715,0.31188515868268984,0.0,0.0,0.0
block_2,source,det_pseudo_clip_radius,contrast_s1,41.5739666725353,62.01187602139964,45.83856502427734,0.18828100860244779,0.053310912914084074,0.16086481836872224,0.0,0.0,0.0
block_2,source,det_pseudo_clip_radius,contrast_s2,36.09281600502574,56.84130662819483,38.023377973857656,0.1314764848851735,0.07458430428103346,1.3110364470425684,0.0,0.0,0.0
block_2,source,det_pseudo_clip_radius,color_cast_s1,42.51416774911508,64.25295739745286,47.550417053498265,0.2341694620711654,-0.34013231804961297,0.0032621125474752155,0.0,0.0,0.0
block_2,source,det_pseudo_clip_radius,color_cast_s2,41.19023569427357,62.523687823349285,44.748120421236216,-0.4046131350875448,-0.5350547850884735,-0.44720482805249984,0.0,0.0,0.0
block_2,source,det_pseudo_clip_radius,clean_s0,43.53437623830323,65.34036632692532,47.82776714521315,-0.33789851342210797,-0.1895569911871009,-0.3622087342521396,0.0,0.0,0.0
block_2,source,det_pseudo_half_dose,gamma_s1,42.713855302780615,64.27906699108846,47.27877260852963,0.20832020445304966,-0.0268399577467604,0.845193943588074,0.0076664930669545495,0.01839415274397238,0.6413316355715071
block_2,source,det_pseudo_half_dose,gamma_s2,40.85129863971677,61.493430820033524,45.07012472915314,0.17081829047930763,0.006029526370021632,0.24974829761342798,0.05129534780956013,0.03991593586828435,-0.06213686106926186
